Unit weight [kN/m3],Effective cohesion [kPa],Effective friction angle [°],Saturated permeability [m/s],Soil Type [-],Slope angle [°],Slope length [m],Total length [m],Slope height [m],Total height Upstream [m],Total height Downstream [m],Soil depth upstream [m],Soil depth downstream [m],Bedrock depth upstream [m],Bedrock depth downstream [m],Initial piezometric surface depth - upstream [m],Initial piezometric surface depth - downstream [m],Return period of precipitation [years],Accumulated precipitation [mm],Precipitation duration [hrs],Factor of safety [-],Depth of slip surface [m],Final Piezometric surface depth - upstream [m],Final Piezometric surface depth - downstream [m]
18,0,18,0.0000008600,3,14,59.2600000000,96.1200000000,15.0100000000,21.8400000000,6.9500000000,4.8200000000,1.8700000000,17.0200000000,5.0800000000,1.5000000000,0,,0.0000000000,0,0.8920000000,4.1254000000,1.5000000000,0
18,0,18,0.0000008600,3,14,59.2600000000,96.1200000000,15.0100000000,21.8400000000,6.9500000000,4.8200000000,1.8700000000,17.0200000000,5.0800000000,1.5000000000,0,30.0000000000,83.7400000000,30,0.7760000000,4.1254000000,0,0
18,0,18,0.0000008600,3,14,59.2600000000,96.1200000000,15.0100000000,21.8400000000,6.9500000000,4.8200000000,1.8700000000,17.0200000000,5.0800000000,1.5000000000,0,200.0000000000,111.7300000000,30,0.7760000000,4.1254000000,0,0
18,0,18,0.0000008600,3,14,59.2600000000,96.1200000000,15.0100000000,21.8400000000,6.9500000000,4.8200000000,1.8700000000,17.0200000000,5.0800000000,1.5000000000,0,500.0000000000,134.5900000000,30,0.7760000000,4.1254000000,0,0
