Unit weight [kN/m3],Undrained Shear Strength [kPa],Saturated permeability [m/s],Soil Type [-],Slope angle [°],Slope length [m],Total length [m],Slope height [m],Total height Upstream [m],Total height Downstream [m],Soil depth upstream [m],Soil depth downstream [m],Bedrock depth upstream [m],Bedrock depth downstream [m],Initial piezometric surface depth - upstream [m],Initial piezometric surface depth - downstream [m],Return period of precipitation [years],Accumulated precipitation [mm],Precipitation duration [hrs],Factor of safety [-],Depth of slip surface [m],Final Piezometric surface depth - upstream [m],Final Piezometric surface depth - downstream [m]
18,325,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,31.5000000000,19.9529946162,3.5000000000,3.5000000000,31.5000000000,19.9529946162,500.0000000000,586.0000000000,100,9.6390000000,21.0000000000,31.5000000000,19.9529946162
12,175,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,8.0140000000,10.0000000000,8.7500000000,5.8632486541
15,175,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,6.3000000000,10.0000000000,8.7500000000,5.8632486541
18,175,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,5.1900000000,10.0000000000,8.7500000000,5.8632486541
21,175,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,4.4130000000,10.0000000000,8.7500000000,5.8632486541
24,175,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,3.8380000000,10.0000000000,8.7500000000,5.8632486541
18,75,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,2.2240000000,10.0000000000,8.7500000000,5.8632486541
18,125,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,3.7080000000,10.0000000000,8.7500000000,5.8632486541
18,275,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,8.1560000000,10.0000000000,8.7500000000,5.8632486541
18,325,0.0000000100,3,30,20,100,11.5470053838,35,23.4529946162,8.7500000000,5.8632486541,26.2500000000,17.5897459622,8.7500000000,5.8632486541,30.0000000000,315.9000000000,100,9.6390000000,10.0000000000,8.7500000000,5.8632486541
