Unit weight [kN/m3],Undrained Shear Strength [kPa],Saturated permeability [m/s],Soil Type [-],Slope angle [°],Slope length [m],Total length [m],Slope height [m],Total height Upstream [m],Total height Downstream [m],Soil depth upstream [m],Soil depth downstream [m],Bedrock depth upstream [m],Bedrock depth downstream [m],Initial piezometric surface depth - upstream [m],Initial piezometric surface depth - downstream [m],Return period of precipitation [years],Accumulated precipitation [mm],Precipitation duration [hrs],Factor of safety [-],Depth of slip surface [m],Final Piezometric surface depth - upstream [m],Final Piezometric surface depth - downstream [m]
18,175,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,8.1850000000,20.0000000000,22.5000000000,15.2205953147
21,175,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,6.9580000000,20.0000000000,22.5000000000,15.2205953147
18,25,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,1.1690000000,20.0000000000,22.5000000000,15.2205953147
18,75,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,3.5080000000,20.0000000000,22.5000000000,15.2205953147
18,125,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,5.8470000000,20.0000000000,22.5000000000,15.2205953147
18,225,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,10.5240000000,20.0000000000,22.5000000000,15.2205953147
18,275,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,12.8620000000,20.0000000000,22.5000000000,15.2205953147
18,325,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,-1.0000000000,0.0000000000,-1,15.2010000000,20.0000000000,22.5000000000,15.2205953147
18,175,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,30.0000000000,315.9000000000,100,8.1750000000,20.0000000000,22.5000000000,15.2205953147
21,175,0.0000000100,3,20,20,100,7.2794046853,25,17.7205953147,22.5000000000,15.2205953147,2.5000000000,2.5000000000,22.5000000000,15.2205953147,30.0000000000,315.9000000000,100,6.9500000000,20.0000000000,22.5000000000,15.2205953147
